target_id,ed_annotated_index,conv_id,utterance_idx,target_num,author,emotion_context,prompt,raw_utterance,target_text,utterance_before_target,utterance_text,prior_speaker_turn,prior_dialog,dialog_and_target_text,act,act_source,intent,intent_source,prompt_dialog_target_text,emotion_prompt_dialog_target_text
hit:10008_conv:20016_turn:2_trg:0,68914,hit:10008_conv:20016,2,0,listener,anxious,<prompt> I'm not ready for the long 9 hour drive.   </prompt>,What is going on this weekend?,<target> What is going on this weekend? </target>,,<listener>  <target> What is going on this weekend? </target>,<speaker> Boy this weekend is going to be hell </speaker>,<speaker> Boy this weekend is going to be hell </speaker>,<speaker> Boy this weekend is going to be hell </speaker> <listener>  <target> What is going on this weekend? </target>,Request information,SBERT,Express interest,mturk,<prompt> I'm not ready for the long 9 hour drive.   </prompt> <speaker> Boy this weekend is going to be hell </speaker> <listener>  <target> What is going on this weekend? </target>,<emotion> anxious <prompt> I'm not ready for the long 9 hour drive.   </prompt> <speaker> Boy this weekend is going to be hell </speaker> <listener>  <target> What is going on this weekend? </target>
hit:10008_conv:20016_turn:4_trg:0,68916,hit:10008_conv:20016,4,0,listener,anxious,<prompt> I'm not ready for the long 9 hour drive.   </prompt>,Are you driving with anyone?,<target> Are you driving with anyone? </target>,,<listener>  <target> Are you driving with anyone? </target>,<speaker> I have a long drive planned.  About 9 hours.  I hate long drives :/ </speaker>,<speaker> Boy this weekend is going to be hell </speaker> <listener> What is going on this weekend? </listener> <speaker> I have a long drive planned.  About 9 hours.  I hate long drives :/ </speaker>,<speaker> Boy this weekend is going to be hell </speaker> <listener> What is going on this weekend? </listener> <speaker> I have a long drive planned.  About 9 hours.  I hate long drives :/ </speaker> <listener>  <target> Are you driving with anyone? </target>,Request information,mturk,Express interest,mturk,<prompt> I'm not ready for the long 9 hour drive.   </prompt> <speaker> Boy this weekend is going to be hell </speaker> <listener> What is going on this weekend? </listener> <speaker> I have a long drive planned.  About 9 hours.  I hate long drives :/ </speaker> <listener>  <target> Are you driving with anyone? </target>,<emotion> anxious <prompt> I'm not ready for the long 9 hour drive.   </prompt> <speaker> Boy this weekend is going to be hell </speaker> <listener> What is going on this weekend? </listener> <speaker> I have a long drive planned.  About 9 hours.  I hate long drives :/ </speaker> <listener>  <target> Are you driving with anyone? </target>
hit:10008_conv:20017_turn:4_trg:0,68921,hit:10008_conv:20017,4,0,listener,furious,<prompt> I am so mad that I forgot my money at home. </prompt>,Oh dang.  Thats awful.  Maybe someone will let you borrow some?,<target> Maybe someone will let you borrow some? </target>,Oh dang.   Thats awful.  ,<listener> Oh dang.   Thats awful.   <target> Maybe someone will let you borrow some? </target>,<speaker> Yes but its a long drive. </speaker>,<speaker> I am so mad that I forgot my money at home. </speaker> <listener> Uh oh.  Better go back and get it! </listener> <speaker> Yes but its a long drive. </speaker>,<speaker> I am so mad that I forgot my money at home. </speaker> <listener> Uh oh.  Better go back and get it! </listener> <speaker> Yes but its a long drive. </speaker> <listener> Oh dang.   Thats awful.   <target> Maybe someone will let you borrow some? </target>,Suggest a solution,QBERT,Offer relief,QBERT,<prompt> I am so mad that I forgot my money at home. </prompt> <speaker> I am so mad that I forgot my money at home. </speaker> <listener> Uh oh.  Better go back and get it! </listener> <speaker> Yes but its a long drive. </speaker> <listener> Oh dang.   Thats awful.   <target> Maybe someone will let you borrow some? </target>,<emotion> furious <prompt> I am so mad that I forgot my money at home. </prompt> <speaker> I am so mad that I forgot my money at home. </speaker> <listener> Uh oh.  Better go back and get it! </listener> <speaker> Yes but its a long drive. </speaker> <listener> Oh dang.   Thats awful.   <target> Maybe someone will let you borrow some? </target>
hit:10009_conv:20018_turn:2_trg:0,68923,hit:10009_conv:20018,2,0,listener,angry,<prompt> I really am mad at my brother. </prompt>,Oh yeah? Why is that?,<target> Oh yeah?  </target>,,<listener>  <target> Oh yeah?  </target>,<speaker> I am really mad at my brother. </speaker>,<speaker> I am really mad at my brother. </speaker>,<speaker> I am really mad at my brother. </speaker> <listener>  <target> Oh yeah?  </target>,Ask for confirmation,manual,Express interest,manual,<prompt> I really am mad at my brother. </prompt> <speaker> I am really mad at my brother. </speaker> <listener>  <target> Oh yeah?  </target>,<emotion> angry <prompt> I really am mad at my brother. </prompt> <speaker> I am really mad at my brother. </speaker> <listener>  <target> Oh yeah?  </target>
hit:10009_conv:20018_turn:2_trg:1,68923,hit:10009_conv:20018,2,1,listener,angry,<prompt> I really am mad at my brother. </prompt>,Oh yeah? Why is that?,<target> Why is that? </target>,Oh yeah? ,<listener> Oh yeah?  <target> Why is that? </target>,<speaker> I am really mad at my brother. </speaker>,<speaker> I am really mad at my brother. </speaker>,<speaker> I am really mad at my brother. </speaker> <listener> Oh yeah?  <target> Why is that? </target>,Ask about antecedent,manual,Express interest,manual,<prompt> I really am mad at my brother. </prompt> <speaker> I am really mad at my brother. </speaker> <listener> Oh yeah?  <target> Why is that? </target>,<emotion> angry <prompt> I really am mad at my brother. </prompt> <speaker> I am really mad at my brother. </speaker> <listener> Oh yeah?  <target> Why is that? </target>
hit:10009_conv:20018_turn:4_trg:0,68925,hit:10009_conv:20018,4,0,listener,angry,<prompt> I really am mad at my brother. </prompt>,That's awful. Did you confront him?,<target> Did you confront him? </target>,That's awful. ,<listener> That's awful.  <target> Did you confront him? </target>,<speaker> He stole some money from me. </speaker>,<speaker> I am really mad at my brother. </speaker> <listener> Oh yeah? Why is that? </listener> <speaker> He stole some money from me. </speaker>,<speaker> I am really mad at my brother. </speaker> <listener> Oh yeah? Why is that? </listener> <speaker> He stole some money from me. </speaker> <listener> That's awful.  <target> Did you confront him? </target>,Suggest a solution,manual,De-escalate,manual,<prompt> I really am mad at my brother. </prompt> <speaker> I am really mad at my brother. </speaker> <listener> Oh yeah? Why is that? </listener> <speaker> He stole some money from me. </speaker> <listener> That's awful.  <target> Did you confront him? </target>,<emotion> angry <prompt> I really am mad at my brother. </prompt> <speaker> I am really mad at my brother. </speaker> <listener> Oh yeah? Why is that? </listener> <speaker> He stole some money from me. </speaker> <listener> That's awful.  <target> Did you confront him? </target>
hit:10009_conv:20019_turn:2_trg:0,68927,hit:10009_conv:20019,2,0,listener,excited,<prompt> I have a hot date this weekend! </prompt>,Is it your first date with her?,<target> Is it your first date with her? </target>,,<listener>  <target> Is it your first date with her? </target>,<speaker> I have a hot date this weekend. </speaker>,<speaker> I have a hot date this weekend. </speaker>,<speaker> I have a hot date this weekend. </speaker> <listener>  <target> Is it your first date with her? </target>,Request information,mturk,Express interest,mturk,<prompt> I have a hot date this weekend! </prompt> <speaker> I have a hot date this weekend. </speaker> <listener>  <target> Is it your first date with her? </target>,<emotion> excited <prompt> I have a hot date this weekend! </prompt> <speaker> I have a hot date this weekend. </speaker> <listener>  <target> Is it your first date with her? </target>
hit:10009_conv:20019_turn:4_trg:0,68929,hit:10009_conv:20019,4,0,listener,excited,<prompt> I have a hot date this weekend! </prompt>,Where are you taking her?,<target> Where are you taking her? </target>,,<listener>  <target> Where are you taking her? </target>,<speaker> Yes it will be </speaker>,<speaker> I have a hot date this weekend. </speaker> <listener> Is it your first date with her? </listener> <speaker> Yes it will be </speaker>,<speaker> I have a hot date this weekend. </speaker> <listener> Is it your first date with her? </listener> <speaker> Yes it will be </speaker> <listener>  <target> Where are you taking her? </target>,Request information,mturk,Express interest,mturk,<prompt> I have a hot date this weekend! </prompt> <speaker> I have a hot date this weekend. </speaker> <listener> Is it your first date with her? </listener> <speaker> Yes it will be </speaker> <listener>  <target> Where are you taking her? </target>,<emotion> excited <prompt> I have a hot date this weekend! </prompt> <speaker> I have a hot date this weekend. </speaker> <listener> Is it your first date with her? </listener> <speaker> Yes it will be </speaker> <listener>  <target> Where are you taking her? </target>
hit:10010_conv:20020_turn:2_trg:0,104037,hit:10010_conv:20020,2,0,listener,annoyed,<prompt> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </prompt>,Why not block the calls?,<target> Why not block the calls? </target>,,<listener>  <target> Why not block the calls? </target>,<speaker> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </speaker>,<speaker> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </speaker>,<speaker> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </speaker> <listener>  <target> Why not block the calls? </target>,Suggest a solution,QBERT,Offer relief,QBERT,<prompt> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </prompt> <speaker> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </speaker> <listener>  <target> Why not block the calls? </target>,<emotion> annoyed <prompt> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </prompt> <speaker> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </speaker> <listener>  <target> Why not block the calls? </target>
hit:10010_conv:20020_turn:4_trg:0,104039,hit:10010_conv:20020,4,0,listener,annoyed,<prompt> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </prompt>,Have you asked them to stop calling about this topic?,<target> Have you asked them to stop calling about this topic? </target>,,<listener>  <target> Have you asked them to stop calling about this topic? </target>,<speaker> I want them to be able to get in touch with me if something important comes up. </speaker>,<speaker> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </speaker> <listener> Why not block the calls? </listener> <speaker> I want them to be able to get in touch with me if something important comes up. </speaker>,<speaker> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </speaker> <listener> Why not block the calls? </listener> <speaker> I want them to be able to get in touch with me if something important comes up. </speaker> <listener>  <target> Have you asked them to stop calling about this topic? </target>,Suggest a solution,QBERT,Offer relief,QBERT,<prompt> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </prompt> <speaker> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </speaker> <listener> Why not block the calls? </listener> <speaker> I want them to be able to get in touch with me if something important comes up. </speaker> <listener>  <target> Have you asked them to stop calling about this topic? </target>,<emotion> annoyed <prompt> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </prompt> <speaker> My bank has called me three times a day ever since I applied for a mortgage. It's been a week and they show no signs of slowing down.  </speaker> <listener> Why not block the calls? </listener> <speaker> I want them to be able to get in touch with me if something important comes up. </speaker> <listener>  <target> Have you asked them to stop calling about this topic? </target>
hit:10011_conv:20022_turn:2_trg:0,68936,hit:10011_conv:20022,2,0,listener,anxious,<prompt> I am so ready for Thursday. </prompt>,Are you looking forward to an event happening then?,<target> Are you looking forward to an event happening then? </target>,,<listener>  <target> Are you looking forward to an event happening then? </target>,<speaker> I am so ready for Thursday. </speaker>,<speaker> I am so ready for Thursday. </speaker>,<speaker> I am so ready for Thursday. </speaker> <listener>  <target> Are you looking forward to an event happening then? </target>,Request information,mturk,Express interest,mturk,<prompt> I am so ready for Thursday. </prompt> <speaker> I am so ready for Thursday. </speaker> <listener>  <target> Are you looking forward to an event happening then? </target>,<emotion> anxious <prompt> I am so ready for Thursday. </prompt> <speaker> I am so ready for Thursday. </speaker> <listener>  <target> Are you looking forward to an event happening then? </target>
hit:10011_conv:20023_turn:2_trg:0,68940,hit:10011_conv:20023,2,0,listener,trusting,"<prompt> I really appreciate my wife. I know I can depend on her for anything, which is comforting. </prompt>","That is great, how long have you been married?","<target> That is great, how long have you been married? </target>",,"<listener>  <target> That is great, how long have you been married? </target>",<speaker> I really love my wife so much! </speaker>,<speaker> I really love my wife so much! </speaker>,"<speaker> I really love my wife so much! </speaker> <listener>  <target> That is great, how long have you been married? </target>",Request information,SBERT,Express interest,SBERT,"<prompt> I really appreciate my wife. I know I can depend on her for anything, which is comforting. </prompt> <speaker> I really love my wife so much! </speaker> <listener>  <target> That is great, how long have you been married? </target>","<emotion> trusting <prompt> I really appreciate my wife. I know I can depend on her for anything, which is comforting. </prompt> <speaker> I really love my wife so much! </speaker> <listener>  <target> That is great, how long have you been married? </target>"
hit:10012_conv:20024_turn:2_trg:0,68944,hit:10012_conv:20024,2,0,listener,content,<prompt> I am ok with coming in third in my race. </prompt>,Third is very good! What kind of race?,<target> What kind of race? </target>,Third is very good! ,<listener> Third is very good!  <target> What kind of race? </target>,<speaker> I am ok with coming in third in my race. </speaker>,<speaker> I am ok with coming in third in my race. </speaker>,<speaker> I am ok with coming in third in my race. </speaker> <listener> Third is very good!  <target> What kind of race? </target>,Request information,QBERT,Express interest,QBERT,<prompt> I am ok with coming in third in my race. </prompt> <speaker> I am ok with coming in third in my race. </speaker> <listener> Third is very good!  <target> What kind of race? </target>,<emotion> content <prompt> I am ok with coming in third in my race. </prompt> <speaker> I am ok with coming in third in my race. </speaker> <listener> Third is very good!  <target> What kind of race? </target>
hit:10012_conv:20024_turn:4_trg:0,68946,hit:10012_conv:20024,4,0,listener,content,<prompt> I am ok with coming in third in my race. </prompt>,Oh wow! Do you do a lot of marathons?,<target> Do you do a lot of marathons? </target>,Oh wow! ,<listener> Oh wow!  <target> Do you do a lot of marathons? </target>,<speaker> It was a marathon. </speaker>,<speaker> I am ok with coming in third in my race. </speaker> <listener> Third is very good! What kind of race? </listener> <speaker> It was a marathon. </speaker>,<speaker> I am ok with coming in third in my race. </speaker> <listener> Third is very good! What kind of race? </listener> <speaker> It was a marathon. </speaker> <listener> Oh wow!  <target> Do you do a lot of marathons? </target>,Request information,mturk,Express interest,mturk,<prompt> I am ok with coming in third in my race. </prompt> <speaker> I am ok with coming in third in my race. </speaker> <listener> Third is very good! What kind of race? </listener> <speaker> It was a marathon. </speaker> <listener> Oh wow!  <target> Do you do a lot of marathons? </target>,<emotion> content <prompt> I am ok with coming in third in my race. </prompt> <speaker> I am ok with coming in third in my race. </speaker> <listener> Third is very good! What kind of race? </listener> <speaker> It was a marathon. </speaker> <listener> Oh wow!  <target> Do you do a lot of marathons? </target>
hit:10012_conv:20025_turn:2_trg:0,104041,hit:10012_conv:20025,2,0,listener,annoyed,<prompt> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep. </prompt>,Have you spoken to him?,<target> Have you spoken to him? </target>,,<listener>  <target> Have you spoken to him? </target>,<speaker> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep. </speaker>,<speaker> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep. </speaker>,<speaker> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep. </speaker> <listener>  <target> Have you spoken to him? </target>,Suggest a solution,QBERT,Offer relief,QBERT,<prompt> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep. </prompt> <speaker> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep. </speaker> <listener>  <target> Have you spoken to him? </target>,<emotion> annoyed <prompt> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep. </prompt> <speaker> My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep. </speaker> <listener>  <target> Have you spoken to him? </target>
hit:10013_conv:20027_turn:2_trg:0,68952,hit:10013_conv:20027,2,0,listener,surprised,<prompt> Aliens landed in my back yard </prompt>,What happened?,<target> What happened? </target>,,<listener>  <target> What happened? </target>,<speaker> Something weird just happened </speaker>,<speaker> Something weird just happened </speaker>,<speaker> Something weird just happened </speaker> <listener>  <target> What happened? </target>,Ask about antecedent,SBERT,Express concern,SBERT,<prompt> Aliens landed in my back yard </prompt> <speaker> Something weird just happened </speaker> <listener>  <target> What happened? </target>,<emotion> surprised <prompt> Aliens landed in my back yard </prompt> <speaker> Something weird just happened </speaker> <listener>  <target> What happened? </target>
hit:10013_conv:20027_turn:4_trg:0,68954,hit:10013_conv:20027,4,0,listener,surprised,<prompt> Aliens landed in my back yard </prompt>,Did you take a photo of them?,<target> Did you take a photo of them? </target>,,<listener>  <target> Did you take a photo of them? </target>,<speaker> I was sitting here playing games and heard a loud crash in my backyard.  I went out to look and it was the aliens!!! Did not expect that! </speaker>,<speaker> Something weird just happened </speaker> <listener> What happened? </listener> <speaker> I was sitting here playing games and heard a loud crash in my backyard.  I went out to look and it was the aliens!!! Did not expect that! </speaker>,<speaker> Something weird just happened </speaker> <listener> What happened? </listener> <speaker> I was sitting here playing games and heard a loud crash in my backyard.  I went out to look and it was the aliens!!! Did not expect that! </speaker> <listener>  <target> Did you take a photo of them? </target>,Suggest a solution,mturk,Express interest,mturk,<prompt> Aliens landed in my back yard </prompt> <speaker> Something weird just happened </speaker> <listener> What happened? </listener> <speaker> I was sitting here playing games and heard a loud crash in my backyard.  I went out to look and it was the aliens!!! Did not expect that! </speaker> <listener>  <target> Did you take a photo of them? </target>,<emotion> surprised <prompt> Aliens landed in my back yard </prompt> <speaker> Something weird just happened </speaker> <listener> What happened? </listener> <speaker> I was sitting here playing games and heard a loud crash in my backyard.  I went out to look and it was the aliens!!! Did not expect that! </speaker> <listener>  <target> Did you take a photo of them? </target>
hit:10014_conv:20029_turn:2_trg:0,68961,hit:10014_conv:20029,2,0,listener,sad,"<prompt> My pet toad died, I am sad. </prompt>",I am so sorry to hear that. How long have you had him?,<target> How long have you had him? </target>,I am so sorry to hear that. ,<listener> I am so sorry to hear that.  <target> How long have you had him? </target>,"<speaker> My pet toad died, I am so sad. </speaker>","<speaker> My pet toad died, I am so sad. </speaker>","<speaker> My pet toad died, I am so sad. </speaker> <listener> I am so sorry to hear that.  <target> How long have you had him? </target>",Request information,mturk,Sympathize,mturk,"<prompt> My pet toad died, I am sad. </prompt> <speaker> My pet toad died, I am so sad. </speaker> <listener> I am so sorry to hear that.  <target> How long have you had him? </target>","<emotion> sad <prompt> My pet toad died, I am sad. </prompt> <speaker> My pet toad died, I am so sad. </speaker> <listener> I am so sorry to hear that.  <target> How long have you had him? </target>"
hit:10016_conv:20032_turn:2_trg:0,68973,hit:10016_conv:20032,2,0,listener,impressed,<prompt> I really like the new Nike shoes. </prompt>,Nikes are usually pretty cool. What do you like about the new ones?,<target> What do you like about the new ones? </target>,Nikes are usually pretty cool. ,<listener> Nikes are usually pretty cool.  <target> What do you like about the new ones? </target>,<speaker> I really like the new Nike shoes. </speaker>,<speaker> I really like the new Nike shoes. </speaker>,<speaker> I really like the new Nike shoes. </speaker> <listener> Nikes are usually pretty cool.  <target> What do you like about the new ones? </target>,Request information,mturk,Express interest,mturk,<prompt> I really like the new Nike shoes. </prompt> <speaker> I really like the new Nike shoes. </speaker> <listener> Nikes are usually pretty cool.  <target> What do you like about the new ones? </target>,<emotion> impressed <prompt> I really like the new Nike shoes. </prompt> <speaker> I really like the new Nike shoes. </speaker> <listener> Nikes are usually pretty cool.  <target> What do you like about the new ones? </target>
hit:10016_conv:20032_turn:4_trg:0,68975,hit:10016_conv:20032,4,0,listener,impressed,<prompt> I really like the new Nike shoes. </prompt>,Did you buy some yet? ,<target> Did you buy some yet?  </target>,,<listener>  <target> Did you buy some yet?  </target>,<speaker> I really like the new comfort fit soles. </speaker>,<speaker> I really like the new Nike shoes. </speaker> <listener> Nikes are usually pretty cool. What do you like about the new ones? </listener> <speaker> I really like the new comfort fit soles. </speaker>,<speaker> I really like the new Nike shoes. </speaker> <listener> Nikes are usually pretty cool. What do you like about the new ones? </listener> <speaker> I really like the new comfort fit soles. </speaker> <listener>  <target> Did you buy some yet?  </target>,Request information,mturk,Express interest,mturk,<prompt> I really like the new Nike shoes. </prompt> <speaker> I really like the new Nike shoes. </speaker> <listener> Nikes are usually pretty cool. What do you like about the new ones? </listener> <speaker> I really like the new comfort fit soles. </speaker> <listener>  <target> Did you buy some yet?  </target>,<emotion> impressed <prompt> I really like the new Nike shoes. </prompt> <speaker> I really like the new Nike shoes. </speaker> <listener> Nikes are usually pretty cool. What do you like about the new ones? </listener> <speaker> I really like the new comfort fit soles. </speaker> <listener>  <target> Did you buy some yet?  </target>
hit:10017_conv:20034_turn:2_trg:0,68981,hit:10017_conv:20034,2,0,listener,lonely,<prompt> My husband went to abroad for a month. I'm badly missing him. </prompt>,Why did he left?,<target> Why did he left? </target>,,<listener>  <target> Why did he left? </target>,<speaker> I badly miss my hubby. </speaker>,<speaker> I badly miss my hubby. </speaker>,<speaker> I badly miss my hubby. </speaker> <listener>  <target> Why did he left? </target>,Ask about antecedent,QBERT,Express interest,QBERT,<prompt> My husband went to abroad for a month. I'm badly missing him. </prompt> <speaker> I badly miss my hubby. </speaker> <listener>  <target> Why did he left? </target>,<emotion> lonely <prompt> My husband went to abroad for a month. I'm badly missing him. </prompt> <speaker> I badly miss my hubby. </speaker> <listener>  <target> Why did he left? </target>
hit:10017_conv:20034_turn:4_trg:0,68983,hit:10017_conv:20034,4,0,listener,lonely,<prompt> My husband went to abroad for a month. I'm badly missing him. </prompt>,"Oh, for how long he will be away?","<target> Oh, for how long he will be away? </target>",,"<listener>  <target> Oh, for how long he will be away? </target>",<speaker> He went to London for our business work. </speaker>,<speaker> I badly miss my hubby. </speaker> <listener> Why did he left? </listener> <speaker> He went to London for our business work. </speaker>,"<speaker> I badly miss my hubby. </speaker> <listener> Why did he left? </listener> <speaker> He went to London for our business work. </speaker> <listener>  <target> Oh, for how long he will be away? </target>",Request information,QBERT,Express interest,QBERT,"<prompt> My husband went to abroad for a month. I'm badly missing him. </prompt> <speaker> I badly miss my hubby. </speaker> <listener> Why did he left? </listener> <speaker> He went to London for our business work. </speaker> <listener>  <target> Oh, for how long he will be away? </target>","<emotion> lonely <prompt> My husband went to abroad for a month. I'm badly missing him. </prompt> <speaker> I badly miss my hubby. </speaker> <listener> Why did he left? </listener> <speaker> He went to London for our business work. </speaker> <listener>  <target> Oh, for how long he will be away? </target>"
hit:10018_conv:20036_turn:2_trg:0,68990,hit:10018_conv:20036,2,0,listener,jealous,<prompt> My brother has the coolest girlfriend. I wish she was mine. </prompt>,Is his name Jessie by chance?,<target> Is his name Jessie by chance? </target>,,<listener>  <target> Is his name Jessie by chance? </target>,<speaker> My brother has the coolest girlfriend. I wish she was mine. </speaker>,<speaker> My brother has the coolest girlfriend. I wish she was mine. </speaker>,<speaker> My brother has the coolest girlfriend. I wish she was mine. </speaker> <listener>  <target> Is his name Jessie by chance? </target>,Request information,QBERT,Express interest,QBERT,<prompt> My brother has the coolest girlfriend. I wish she was mine. </prompt> <speaker> My brother has the coolest girlfriend. I wish she was mine. </speaker> <listener>  <target> Is his name Jessie by chance? </target>,<emotion> jealous <prompt> My brother has the coolest girlfriend. I wish she was mine. </prompt> <speaker> My brother has the coolest girlfriend. I wish she was mine. </speaker> <listener>  <target> Is his name Jessie by chance? </target>
hit:10019_conv:20038_turn:2_trg:0,68999,hit:10019_conv:20038,2,0,listener,furious,<prompt> I am so mad that my window broke. </prompt>,"That's horrible, what happened?","<target> That's horrible, what happened? </target>",,"<listener>  <target> That's horrible, what happened? </target>",<speaker> I am so mad that my window broke. </speaker>,<speaker> I am so mad that my window broke. </speaker>,"<speaker> I am so mad that my window broke. </speaker> <listener>  <target> That's horrible, what happened? </target>",Ask about antecedent,SBERT,Express concern,SBERT,"<prompt> I am so mad that my window broke. </prompt> <speaker> I am so mad that my window broke. </speaker> <listener>  <target> That's horrible, what happened? </target>","<emotion> furious <prompt> I am so mad that my window broke. </prompt> <speaker> I am so mad that my window broke. </speaker> <listener>  <target> That's horrible, what happened? </target>"
hit:10019_conv:20038_turn:4_trg:0,69001,hit:10019_conv:20038,4,0,listener,furious,<prompt> I am so mad that my window broke. </prompt>,That sounds like an awful thing to see. Will it be hard to replace?,<target> Will it be hard to replace? </target>,That sounds like an awful thing to see. ,<listener> That sounds like an awful thing to see.  <target> Will it be hard to replace? </target>,<speaker> A bird flew into it. </speaker>,"<speaker> I am so mad that my window broke. </speaker> <listener> That's horrible, what happened? </listener> <speaker> A bird flew into it. </speaker>","<speaker> I am so mad that my window broke. </speaker> <listener> That's horrible, what happened? </listener> <speaker> A bird flew into it. </speaker> <listener> That sounds like an awful thing to see.  <target> Will it be hard to replace? </target>",Ask about consequence,QBERT,Sympathize,QBERT,"<prompt> I am so mad that my window broke. </prompt> <speaker> I am so mad that my window broke. </speaker> <listener> That's horrible, what happened? </listener> <speaker> A bird flew into it. </speaker> <listener> That sounds like an awful thing to see.  <target> Will it be hard to replace? </target>","<emotion> furious <prompt> I am so mad that my window broke. </prompt> <speaker> I am so mad that my window broke. </speaker> <listener> That's horrible, what happened? </listener> <speaker> A bird flew into it. </speaker> <listener> That sounds like an awful thing to see.  <target> Will it be hard to replace? </target>"
hit:10019_conv:20039_turn:2_trg:0,104045,hit:10019_conv:20039,2,0,listener,impressed,<prompt> I watched Wimbledon on TV over the summer for the first time. Those tennis players are so good! </prompt>,I love tennis. Will you watch the US Open?,<target> Will you watch the US Open? </target>,I love tennis. ,<listener> I love tennis.  <target> Will you watch the US Open? </target>,<speaker> I watched Wimbledon on TV over the summer for the first time. Those tennis players are so good! </speaker>,<speaker> I watched Wimbledon on TV over the summer for the first time. Those tennis players are so good! </speaker>,<speaker> I watched Wimbledon on TV over the summer for the first time. Those tennis players are so good! </speaker> <listener> I love tennis.  <target> Will you watch the US Open? </target>,Request information,QBERT,Express interest,QBERT,<prompt> I watched Wimbledon on TV over the summer for the first time. Those tennis players are so good! </prompt> <speaker> I watched Wimbledon on TV over the summer for the first time. Those tennis players are so good! </speaker> <listener> I love tennis.  <target> Will you watch the US Open? </target>,<emotion> impressed <prompt> I watched Wimbledon on TV over the summer for the first time. Those tennis players are so good! </prompt> <speaker> I watched Wimbledon on TV over the summer for the first time. Those tennis players are so good! </speaker> <listener> I love tennis.  <target> Will you watch the US Open? </target>
hit:1001_conv:2002_turn:2_trg:0,6381,hit:1001_conv:2002,2,0,listener,joyful,"<prompt> I won then lottery, I never have to work again. </prompt>",Congratulations?  How much did you win?,<target> Congratulations?   </target>,,<listener>  <target> Congratulations?   </target>,"<speaker> I won the lottery, I never have to work again. </speaker>","<speaker> I won the lottery, I never have to work again. </speaker>","<speaker> I won the lottery, I never have to work again. </speaker> <listener>  <target> Congratulations?   </target>",Ask for confirmation,QBERT,Express interest,QBERT,"<prompt> I won then lottery, I never have to work again. </prompt> <speaker> I won the lottery, I never have to work again. </speaker> <listener>  <target> Congratulations?   </target>","<emotion> joyful <prompt> I won then lottery, I never have to work again. </prompt> <speaker> I won the lottery, I never have to work again. </speaker> <listener>  <target> Congratulations?   </target>"
hit:1001_conv:2002_turn:2_trg:1,6381,hit:1001_conv:2002,2,1,listener,joyful,"<prompt> I won then lottery, I never have to work again. </prompt>",Congratulations?  How much did you win?,<target> How much did you win? </target>,Congratulations?  ,<listener> Congratulations?   <target> How much did you win? </target>,"<speaker> I won the lottery, I never have to work again. </speaker>","<speaker> I won the lottery, I never have to work again. </speaker>","<speaker> I won the lottery, I never have to work again. </speaker> <listener> Congratulations?   <target> How much did you win? </target>",Request information,QBERT,Express interest,QBERT,"<prompt> I won then lottery, I never have to work again. </prompt> <speaker> I won the lottery, I never have to work again. </speaker> <listener> Congratulations?   <target> How much did you win? </target>","<emotion> joyful <prompt> I won then lottery, I never have to work again. </prompt> <speaker> I won the lottery, I never have to work again. </speaker> <listener> Congratulations?   <target> How much did you win? </target>"
