,sample_index,Dim1,Dim2,Dim3,Dim4,Dim5,annotator,ED_index,chat_templates,gen_targets,prevs,emotions,gens,chat_cut,tidy_chat,model
639,114,40,38,35,7,1,185,2326,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
I just got back from a latenight showing of the horror movie insidious</s>
<|assistant|>
Oh that sounds fun!</s>
<|user|>
Not really I  almost had an accident at some of the startling points.</s>
<|assistant|>
","That isn't good at all, glad you didn't have an accident. ",Not really I  almost had an accident at some of the startling points.,afraid,I'm sorry to hear that.,"I just got back from a latenight showing of the horror movie insidious
Oh that sounds fun!
Not really I  almost had an accident at some of the startling points.","Speaker: I just got back from a latenight showing of the horror movie insidious
Listener: Oh that sounds fun!
Speaker: Not really I  almost had an accident at some of the startling points.
Listener (Response): I'm sorry to hear that.",zephyr_base_output_limit
640,115,86,36,76,66,1,185,774,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
Hello, I made a serious mistake. I made a comment without bad intentions of the elders. I related them to the dinosaurs, and my father heard it ... he looked me in the eyes ... and he told me that you too could be one of them ... I felt bad</s>
<|assistant|>
That sounds like it's rough, did your father accept your apology?</s>
<|user|>
yes, but I feel like a cockroach</s>
<|assistant|>
","Well, I'm sure he understands, and you shouldn't feel too bad, as long as you apologized you're fine.","yes, but I feel like a cockroach",embarrassed,I'm sorry to hear that.,"Hello, I made a serious mistake. I made a comment without bad intentions of the elders. I related them to the dinosaurs, and my father heard it ... he looked me in the eyes ... and he told me that you too could be one of them ... I felt bad
That sounds like it's rough, did your father accept your apology?
yes, but I feel like a cockroach","Speaker: Hello, I made a serious mistake. I made a comment without bad intentions of the elders. I related them to the dinosaurs, and my father heard it ... he looked me in the eyes ... and he told me that you too could be one of them ... I felt bad
Listener: That sounds like it's rough, did your father accept your apology?
Speaker: yes, but I feel like a cockroach
Listener (Response): I'm sorry to hear that.",zephyr_base_output_limit
641,116,96,65,67,92,1,185,7,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
We are going to Six Flags this weekend and my kids want me to ride the roller coaster with them.</s>
<|assistant|>
Sounds like found!   Are you scared of roller coasters?  I love them!</s>
<|user|>
I'm really hesitant to get on. It's been a long time since I've ridden one and I don't think I'm going to like it at all</s>
<|assistant|>
",I hope you do have fun!,I'm really hesitant to get on. It's been a long time since I've ridden one and I don't think I'm going to like it at all,apprehensive,"It's okay to be hesitant! Roller coasters can be scary, but they can also be a lot of fun.","We are going to Six Flags this weekend and my kids want me to ride the roller coaster with them.
Sounds like found!   Are you scared of roller coasters?  I love them!
I'm really hesitant to get on. It's been a long time since I've ridden one and I don't think I'm going to like it at all","Speaker: We are going to Six Flags this weekend and my kids want me to ride the roller coaster with them.
Listener: Sounds like found!   Are you scared of roller coasters?  I love them!
Speaker: I'm really hesitant to get on. It's been a long time since I've ridden one and I don't think I'm going to like it at all
Listener (Response): It's okay to be hesitant! Roller coasters can be scary, but they can also be a lot of fun.",zephyr_base_output_limit
642,117,94,94,86,89,1,185,1005,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
Not long ago we had a horrible storm come through. You could barely see 5 feet outside the window.</s>
<|assistant|>
Oh wow, sounds dangerous. Were you able to stay home and not venture out in it?</s>
<|user|>
By the time we noticed how bad it was, we had to stay put. Our phones staying blaring telling us to seek shelter. We piled in the bathroom til it passed.</s>
<|assistant|>
",Did you have any damage to your home?,"By the time we noticed how bad it was, we had to stay put. Our phones staying blaring telling us to seek shelter. We piled in the bathroom til it passed.",afraid,That must have been a scary experience. I'm glad you were able to stay safe and dry.,"Not long ago we had a horrible storm come through. You could barely see 5 feet outside the window.
Oh wow, sounds dangerous. Were you able to stay home and not venture out in it?
By the time we noticed how bad it was, we had to stay put. Our phones staying blaring telling us to seek shelter. We piled in the bathroom til it passed.","Speaker: Not long ago we had a horrible storm come through. You could barely see 5 feet outside the window.
Listener: Oh wow, sounds dangerous. Were you able to stay home and not venture out in it?
Speaker: By the time we noticed how bad it was, we had to stay put. Our phones staying blaring telling us to seek shelter. We piled in the bathroom til it passed.
Listener (Response): That must have been a scary experience. I'm glad you were able to stay safe and dry.",zephyr_base_output_limit
643,118,80,50,64,27,1,185,40,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
Everyone wanted to go skydiving for my birthday.</s>
<|assistant|>
Do you like skydiving?  I would be terrified!</s>
<|user|>
I'm pretty sure that my greatest fear is my chute not releasing and plunging through the sky into the ground. Oh well you only live once.</s>
<|assistant|>
","haha, that's true but you can also live with your feet on the ground!",I'm pretty sure that my greatest fear is my chute not releasing and plunging through the sky into the ground. Oh well you only live once.,apprehensive,"I understand your fear, but I'm sure you'll be fine.","Everyone wanted to go skydiving for my birthday.
Do you like skydiving?  I would be terrified!
I'm pretty sure that my greatest fear is my chute not releasing and plunging through the sky into the ground. Oh well you only live once.","Speaker: Everyone wanted to go skydiving for my birthday.
Listener: Do you like skydiving?  I would be terrified!
Speaker: I'm pretty sure that my greatest fear is my chute not releasing and plunging through the sky into the ground. Oh well you only live once.
Listener (Response): I understand your fear, but I'm sure you'll be fine.",zephyr_base_output_limit
644,119,95,93,99,53,1,185,21,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
Had a good day today, i think i was prepared for everything. how has your day been?</s>
<|assistant|>
I'm so glad to hear that! Did anything in particular make it a good day? Mine's been awesome too!</s>
<|user|>
Well i had a meeting with my boss who gave me a promotion today so i'm over the moon!.</s>
<|assistant|>
","Sick, congratulations! Time to celebrate right?",Well i had a meeting with my boss who gave me a promotion today so i'm over the moon!.,prepared,That's amazing news! Congratulations on your promotion! I'm so happy for you.,"Had a good day today, i think i was prepared for everything. how has your day been?
I'm so glad to hear that! Did anything in particular make it a good day? Mine's been awesome too!
Well i had a meeting with my boss who gave me a promotion today so i'm over the moon!.","Speaker: Had a good day today, i think i was prepared for everything. how has your day been?
Listener: I'm so glad to hear that! Did anything in particular make it a good day? Mine's been awesome too!
Speaker: Well i had a meeting with my boss who gave me a promotion today so i'm over the moon!.
Listener (Response): That's amazing news! Congratulations on your promotion! I'm so happy for you.",zephyr_base_output_limit
645,105,80,35,50,74,1,186,83,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
Drinking a gallon of milk everyday makes me feel like an absolute madman in the gym who's gonna take over the world</s>
<|assistant|>
That doesn't sound healthy lol. Does it ever make you sick?</s>
<|user|>
That's not the point, gotta do it RAW</s>
<|assistant|>
",Are you drinking 2% because you think you're fat? Because you're not. You could drink whole if you wanted to.,"That's not the point, gotta do it RAW",confident,"I understand that you want to push yourself to the limit, but it's important to remember that your health should always come first.","Drinking a gallon of milk everyday makes me feel like an absolute madman in the gym who's gonna take over the world
That doesn't sound healthy lol. Does it ever make you sick?
That's not the point, gotta do it RAW","Speaker: Drinking a gallon of milk everyday makes me feel like an absolute madman in the gym who's gonna take over the world
Listener: That doesn't sound healthy lol. Does it ever make you sick?
Speaker: That's not the point, gotta do it RAW
Listener (Response): I understand that you want to push yourself to the limit, but it's important to remember that your health should always come first.",zephyr_base_output_limit
646,106,93,81,82,82,1,186,101,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
I just watched JFK's speech, 'we will go to the moon' - reminds me of what I admire in the US</s>
<|assistant|>
I love the USA.  </s>
<|user|>
It's really moving, wonder what the next big goal will be for humanity</s>
<|assistant|>
",JFK's speeches were amazing.  We have had a lot of great leaders in our country.  Our country has truly been blessed.  ,"It's really moving, wonder what the next big goal will be for humanity",proud,I'm excited to see what the future holds for humanity.,"I just watched JFK's speech, 'we will go to the moon' - reminds me of what I admire in the US
I love the USA.  
It's really moving, wonder what the next big goal will be for humanity","Speaker: I just watched JFK's speech, 'we will go to the moon' - reminds me of what I admire in the US
Listener: I love the USA.  
Speaker: It's really moving, wonder what the next big goal will be for humanity
Listener (Response): I'm excited to see what the future holds for humanity.",zephyr_base_output_limit
647,107,100,100,100,100,1,186,2505,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
We are planning on going on a cruise in December!</s>
<|assistant|>
How ever so exciting! is this your first cruise?</s>
<|user|>
No, I went on one in highschool but first one with my husband and daughter. It's has been so fun planning it together!</s>
<|assistant|>
",I hope you have a great trip and cherish the time with your family!,"No, I went on one in highschool but first one with my husband and daughter. It's has been so fun planning it together!",excited,That sounds like a wonderful experience! I'm sure you'll have a great time on your cruise.,"We are planning on going on a cruise in December!
How ever so exciting! is this your first cruise?
No, I went on one in highschool but first one with my husband and daughter. It's has been so fun planning it together!","Speaker: We are planning on going on a cruise in December!
Listener: How ever so exciting! is this your first cruise?
Speaker: No, I went on one in highschool but first one with my husband and daughter. It's has been so fun planning it together!
Listener (Response): That sounds like a wonderful experience! I'm sure you'll have a great time on your cruise.",zephyr_base_output_limit
648,108,28,50,35,88,0,186,1990,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
I love my husband so much I could never cheat on him.</s>
<|assistant|>
Love is a great thing, I am happy for you</s>
<|user|>
Yea, I wouldnt want to hurt him, i cant understand anyone who does.</s>
<|assistant|>
","Yeah, people can be unpredictable sometimes","Yea, I wouldnt want to hurt him, i cant understand anyone who does.",faithful,I completely understand how you feel. Cheating is a serious offense and can cause a lot of pain and heartache.,"I love my husband so much I could never cheat on him.
Love is a great thing, I am happy for you
Yea, I wouldnt want to hurt him, i cant understand anyone who does.","Speaker: I love my husband so much I could never cheat on him.
Listener: Love is a great thing, I am happy for you
Speaker: Yea, I wouldnt want to hurt him, i cant understand anyone who does.
Listener (Response): I completely understand how you feel. Cheating is a serious offense and can cause a lot of pain and heartache.",zephyr_base_output_limit
649,109,28,14,50,77,0,186,1308,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
I broke up with my girlfriend last week and it was really hard</s>
<|assistant|>
Oh no I am sorry to hear about that, were you together long?</s>
<|user|>
Yeah we where together for about 2 years but im getting over it now</s>
<|assistant|>
",That's good make yourself available and open for others and you will find the next relationship,Yeah we where together for about 2 years but im getting over it now,sentimental,"That's great to hear! It's normal to feel sad and upset after a breakup, but with time and support from loved ones,.","I broke up with my girlfriend last week and it was really hard
Oh no I am sorry to hear about that, were you together long?
Yeah we where together for about 2 years but im getting over it now","Speaker: I broke up with my girlfriend last week and it was really hard
Listener: Oh no I am sorry to hear about that, were you together long?
Speaker: Yeah we where together for about 2 years but im getting over it now
Listener (Response): That's great to hear! It's normal to feel sad and upset after a breakup, but with time and support from loved ones,.",zephyr_base_output_limit
650,110,100,100,93,87,1,186,902,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
I never liked milk growing up, because my family drank skim. </s>
<|assistant|>
Do you like it now?</s>
<|user|>
Well, first I tried whole milk, and that was gross. But I just tried 2% milk, and I like it!</s>
<|assistant|>
I like 2% as well.  It's perfect for cereal and chocolate milk!</s>
<|user|>
I agree! I'm so happy I can enjoy it now.</s>
<|assistant|>
Have you tried 1%?</s>
<|user|>
No, but I am satisfied with my choice. </s>
<|assistant|>
",That's great.  2% is much more healthful than whole milk.,"No, but I am satisfied with my choice. ",content,That's great to hear! Everyone has their own preferences when it comes to milk.,"I never liked milk growing up, because my family drank skim. 
Do you like it now?
Well, first I tried whole milk, and that was gross. But I just tried 2% milk, and I like it!
I like 2% as well.  It's perfect for cereal and chocolate milk!
I agree! I'm so happy I can enjoy it now.
Have you tried 1%?
No, but I am satisfied with my choice. ","Speaker: I never liked milk growing up, because my family drank skim. 
Listener: Do you like it now?
Speaker: Well, first I tried whole milk, and that was gross. But I just tried 2% milk, and I like it!
Listener: I like 2% as well.  It's perfect for cereal and chocolate milk!
Speaker: I agree! I'm so happy I can enjoy it now.
Listener: Have you tried 1%?
Speaker: No, but I am satisfied with my choice. 
Listener (Response): That's great to hear! Everyone has their own preferences when it comes to milk.",zephyr_base_output_limit
651,111,28,26,23,12,0,186,9,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
I think that in the past i have spent time caring about things that aren't important.</s>
<|assistant|>
What kind of thing?  You could always change that in the future.</s>
<|user|>
Money mostly. I just wish i could have enough of it to be set for life.</s>
<|assistant|>
","Of course, but that is certainly not the most important thing in life, I hope you realize now.",Money mostly. I just wish i could have enough of it to be set for life.,caring,"I understand how you feel. It's natural to want financial security. But remember, money is not the only thing that matters in life.","I think that in the past i have spent time caring about things that aren't important.
What kind of thing?  You could always change that in the future.
Money mostly. I just wish i could have enough of it to be set for life.","Speaker: I think that in the past i have spent time caring about things that aren't important.
Listener: What kind of thing?  You could always change that in the future.
Speaker: Money mostly. I just wish i could have enough of it to be set for life.
Listener (Response): I understand how you feel. It's natural to want financial security. But remember, money is not the only thing that matters in life.",zephyr_base_output_limit
652,112,100,100,100,100,1,186,2488,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
I was able to say the entire alphabet backwards.</s>
<|assistant|>
Wow ! thats quite an accomplishment. How long did you have to practice to perfect that ?</s>
<|user|>
no time, I have a great memory, It was on a dare I nailed it perfectly.</s>
<|assistant|>
","Fantastic ! When you get older, your memory tends to play tricks on you lol","no time, I have a great memory, It was on a dare I nailed it perfectly.",proud,That's impressive! I'm sure your great memory helped you with that.,"I was able to say the entire alphabet backwards.
Wow ! thats quite an accomplishment. How long did you have to practice to perfect that ?
no time, I have a great memory, It was on a dare I nailed it perfectly.","Speaker: I was able to say the entire alphabet backwards.
Listener: Wow ! thats quite an accomplishment. How long did you have to practice to perfect that ?
Speaker: no time, I have a great memory, It was on a dare I nailed it perfectly.
Listener (Response): That's impressive! I'm sure your great memory helped you with that.",zephyr_base_output_limit
653,113,31,10,21,6,0,186,1996,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
There is a big storm going on in my town right now!</s>
<|assistant|>
O? Same here. I love storms.</s>
<|user|>
I don't, it makes me nervous with the strong winds and rain! </s>
<|assistant|>
",Be careful and don't go outside then.,"I don't, it makes me nervous with the strong winds and rain! ",terrified,I understand how you feel. It's completely normal to feel nervous during a storm.,"There is a big storm going on in my town right now!
O? Same here. I love storms.
I don't, it makes me nervous with the strong winds and rain! ","Speaker: There is a big storm going on in my town right now!
Listener: O? Same here. I love storms.
Speaker: I don't, it makes me nervous with the strong winds and rain! 
Listener (Response): I understand how you feel. It's completely normal to feel nervous during a storm.",zephyr_base_output_limit
654,114,100,100,100,100,1,186,2326,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
I just got back from a latenight showing of the horror movie insidious</s>
<|assistant|>
Oh that sounds fun!</s>
<|user|>
Not really I  almost had an accident at some of the startling points.</s>
<|assistant|>
","That isn't good at all, glad you didn't have an accident. ",Not really I  almost had an accident at some of the startling points.,afraid,I'm sorry to hear that.,"I just got back from a latenight showing of the horror movie insidious
Oh that sounds fun!
Not really I  almost had an accident at some of the startling points.","Speaker: I just got back from a latenight showing of the horror movie insidious
Listener: Oh that sounds fun!
Speaker: Not really I  almost had an accident at some of the startling points.
Listener (Response): I'm sorry to hear that.",zephyr_base_output_limit
655,115,42,100,100,86,1,186,774,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
Hello, I made a serious mistake. I made a comment without bad intentions of the elders. I related them to the dinosaurs, and my father heard it ... he looked me in the eyes ... and he told me that you too could be one of them ... I felt bad</s>
<|assistant|>
That sounds like it's rough, did your father accept your apology?</s>
<|user|>
yes, but I feel like a cockroach</s>
<|assistant|>
","Well, I'm sure he understands, and you shouldn't feel too bad, as long as you apologized you're fine.","yes, but I feel like a cockroach",embarrassed,I'm sorry to hear that.,"Hello, I made a serious mistake. I made a comment without bad intentions of the elders. I related them to the dinosaurs, and my father heard it ... he looked me in the eyes ... and he told me that you too could be one of them ... I felt bad
That sounds like it's rough, did your father accept your apology?
yes, but I feel like a cockroach","Speaker: Hello, I made a serious mistake. I made a comment without bad intentions of the elders. I related them to the dinosaurs, and my father heard it ... he looked me in the eyes ... and he told me that you too could be one of them ... I felt bad
Listener: That sounds like it's rough, did your father accept your apology?
Speaker: yes, but I feel like a cockroach
Listener (Response): I'm sorry to hear that.",zephyr_base_output_limit
656,116,0,9,6,0,0,186,7,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
We are going to Six Flags this weekend and my kids want me to ride the roller coaster with them.</s>
<|assistant|>
Sounds like found!   Are you scared of roller coasters?  I love them!</s>
<|user|>
I'm really hesitant to get on. It's been a long time since I've ridden one and I don't think I'm going to like it at all</s>
<|assistant|>
",I hope you do have fun!,I'm really hesitant to get on. It's been a long time since I've ridden one and I don't think I'm going to like it at all,apprehensive,"It's okay to be hesitant! Roller coasters can be scary, but they can also be a lot of fun.","We are going to Six Flags this weekend and my kids want me to ride the roller coaster with them.
Sounds like found!   Are you scared of roller coasters?  I love them!
I'm really hesitant to get on. It's been a long time since I've ridden one and I don't think I'm going to like it at all","Speaker: We are going to Six Flags this weekend and my kids want me to ride the roller coaster with them.
Listener: Sounds like found!   Are you scared of roller coasters?  I love them!
Speaker: I'm really hesitant to get on. It's been a long time since I've ridden one and I don't think I'm going to like it at all
Listener (Response): It's okay to be hesitant! Roller coasters can be scary, but they can also be a lot of fun.",zephyr_base_output_limit
657,117,0,0,0,0,0,186,1005,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
Not long ago we had a horrible storm come through. You could barely see 5 feet outside the window.</s>
<|assistant|>
Oh wow, sounds dangerous. Were you able to stay home and not venture out in it?</s>
<|user|>
By the time we noticed how bad it was, we had to stay put. Our phones staying blaring telling us to seek shelter. We piled in the bathroom til it passed.</s>
<|assistant|>
",Did you have any damage to your home?,"By the time we noticed how bad it was, we had to stay put. Our phones staying blaring telling us to seek shelter. We piled in the bathroom til it passed.",afraid,That must have been a scary experience. I'm glad you were able to stay safe and dry.,"Not long ago we had a horrible storm come through. You could barely see 5 feet outside the window.
Oh wow, sounds dangerous. Were you able to stay home and not venture out in it?
By the time we noticed how bad it was, we had to stay put. Our phones staying blaring telling us to seek shelter. We piled in the bathroom til it passed.","Speaker: Not long ago we had a horrible storm come through. You could barely see 5 feet outside the window.
Listener: Oh wow, sounds dangerous. Were you able to stay home and not venture out in it?
Speaker: By the time we noticed how bad it was, we had to stay put. Our phones staying blaring telling us to seek shelter. We piled in the bathroom til it passed.
Listener (Response): That must have been a scary experience. I'm glad you were able to stay safe and dry.",zephyr_base_output_limit
658,118,11,30,25,30,0,186,40,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
Everyone wanted to go skydiving for my birthday.</s>
<|assistant|>
Do you like skydiving?  I would be terrified!</s>
<|user|>
I'm pretty sure that my greatest fear is my chute not releasing and plunging through the sky into the ground. Oh well you only live once.</s>
<|assistant|>
","haha, that's true but you can also live with your feet on the ground!",I'm pretty sure that my greatest fear is my chute not releasing and plunging through the sky into the ground. Oh well you only live once.,apprehensive,"I understand your fear, but I'm sure you'll be fine.","Everyone wanted to go skydiving for my birthday.
Do you like skydiving?  I would be terrified!
I'm pretty sure that my greatest fear is my chute not releasing and plunging through the sky into the ground. Oh well you only live once.","Speaker: Everyone wanted to go skydiving for my birthday.
Listener: Do you like skydiving?  I would be terrified!
Speaker: I'm pretty sure that my greatest fear is my chute not releasing and plunging through the sky into the ground. Oh well you only live once.
Listener (Response): I understand your fear, but I'm sure you'll be fine.",zephyr_base_output_limit
659,119,76,48,50,50,1,186,21,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
Had a good day today, i think i was prepared for everything. how has your day been?</s>
<|assistant|>
I'm so glad to hear that! Did anything in particular make it a good day? Mine's been awesome too!</s>
<|user|>
Well i had a meeting with my boss who gave me a promotion today so i'm over the moon!.</s>
<|assistant|>
","Sick, congratulations! Time to celebrate right?",Well i had a meeting with my boss who gave me a promotion today so i'm over the moon!.,prepared,That's amazing news! Congratulations on your promotion! I'm so happy for you.,"Had a good day today, i think i was prepared for everything. how has your day been?
I'm so glad to hear that! Did anything in particular make it a good day? Mine's been awesome too!
Well i had a meeting with my boss who gave me a promotion today so i'm over the moon!.","Speaker: Had a good day today, i think i was prepared for everything. how has your day been?
Listener: I'm so glad to hear that! Did anything in particular make it a good day? Mine's been awesome too!
Speaker: Well i had a meeting with my boss who gave me a promotion today so i'm over the moon!.
Listener (Response): That's amazing news! Congratulations on your promotion! I'm so happy for you.",zephyr_base_output_limit
660,120,82,20,85,16,1,187,23,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
Do you remember the old video games you used to play?</s>
<|assistant|>
I do, as if it were yesterday. I remember most of my childhood through video games.</s>
<|user|>
The nostalgic moments when you play them again is brilliant. You should try it.</s>
<|assistant|>
","I really want to, but unfortunately my GameCube and N64 no longer function. Also a few of my favorite games are scratched to heck.",The nostalgic moments when you play them again is brilliant. You should try it.,nostalgic,"I don't have the capability to play video games, but I understand what you mean.","Do you remember the old video games you used to play?
I do, as if it were yesterday. I remember most of my childhood through video games.
The nostalgic moments when you play them again is brilliant. You should try it.","Speaker: Do you remember the old video games you used to play?
Listener: I do, as if it were yesterday. I remember most of my childhood through video games.
Speaker: The nostalgic moments when you play them again is brilliant. You should try it.
Listener (Response): I don't have the capability to play video games, but I understand what you mean.",zephyr_base_output_limit
661,121,50,50,50,50,1,187,898,"<|system|>
You are a friendly assistant, who provides short empathetic responses to the user. The input contains previous turn of the dialog, where each utterance is prefaced with tags <|user|>, or <|assistant|>. Be empathetic and precise. Make sure to give responses that make dialogue flow. Avoid repeating the prompt and giving unsolicited advice. Make the responses short.</s>
<|user|>
Imagine my surprise after 6 months of trying. Now we also know it's a boy</s>
<|assistant|>
You must be over the moon happy.</s>
<|user|>
I am. Especially when we saw the ultrasound. Takes after his dad if you know what I mean haha</s>
<|assistant|>
",Very funny. Have you decided on a name yet?,I am. Especially when we saw the ultrasound. Takes after his dad if you know what I mean haha,surprised,That's great to hear! Congratulations on the good news.,"Imagine my surprise after 6 months of trying. Now we also know it's a boy
You must be over the moon happy.
I am. Especially when we saw the ultrasound. Takes after his dad if you know what I mean haha","Speaker: Imagine my surprise after 6 months of trying. Now we also know it's a boy
Listener: You must be over the moon happy.
Speaker: I am. Especially when we saw the ultrasound. Takes after his dad if you know what I mean haha
Listener (Response): That's great to hear! Congratulations on the good news.",zephyr_base_output_limit
